customerID,churn_probability,risk_level
5067-XJQFU,0.09,Low Risk
3957-SQXML,0.0,Low Risk
5954-BDFSG,0.14,Low Risk
0434-CSFON,0.2,Low Risk
1215-FIGMP,0.29,Low Risk
0526-SXDJP,0.01,Low Risk
0557-ASKVU,0.05,Low Risk
5698-BQJOH,0.95,High Risk
5122-CYFXA,0.57,Medium Risk
8627-ZYGSZ,0.09,Low Risk
3410-YOQBQ,0.01,Low Risk
3170-NMYVV,0.0,Low Risk
7410-OIEDU,0.08,Low Risk
2273-QCKXA,0.14,Low Risk
0731-EBJQB,0.02,Low Risk
1891-QRQSA,0.06,Low Risk
8028-PNXHQ,0.0,Low Risk
5630-AHZIL,0.07,Low Risk
2673-CXQEU,0.19,Low Risk
6416-JNVRK,0.03,Low Risk
5590-ZSKRV,0.01,Low Risk
0191-ZHSKZ,0.07,Low Risk
3887-PBQAO,0.01,Low Risk
5919-TMRGD,0.94,High Risk
8108-UXRQN,0.08,Low Risk
9191-MYQKX,0.82,High Risk
9919-YLNNG,0.21,Low Risk
0318-ZOPWS,0.0,Low Risk
4445-ZJNMU,0.29,Low Risk
4808-YNLEU,0.02,Low Risk
1862-QRWPE,0.01,Low Risk
2796-NNUFI,0.0,Low Risk
3016-KSVCP,0.13,Low Risk
4767-HZZHQ,0.13,Low Risk
2424-WVHPL,0.44,Medium Risk
7233-PAHHL,0.01,Low Risk
6067-NGCEU,0.1,Low Risk
9848-JQJTX,0.02,Low Risk
8637-XJIVR,0.36,Medium Risk
9803-FTJCG,0.06,Low Risk
0278-YXOOG,0.63,Medium Risk
3212-KXOCR,0.02,Low Risk
4598-XLKNJ,0.86,High Risk
6380-ARCEH,0.3019880952380951,Medium Risk
3679-XASPY,0.51,Medium Risk
7123-WQUHX,0.04,Low Risk
5386-THSLQ,0.02,Low Risk
3192-NQECA,0.69,Medium Risk
6180-YBIQI,0.16,Low Risk
6728-DKUCO,0.04,Low Risk
9750-BOOHV,0.04,Low Risk
8597-CWYHH,0.07,Low Risk
2848-YXSMW,0.0,Low Risk
0486-HECZI,0.7,Medium Risk
4549-ZDQYY,0.07,Low Risk
5712-AHQNN,0.1,Low Risk
4846-WHAFZ,0.89,High Risk
5256-SKJGO,0.0,Low Risk
3071-VBYPO,0.16,Low Risk
9560-BBZXK,0.03,Low Risk
5299-RULOA,0.86,High Risk
8402-OOOHJ,0.0,Low Risk
9445-ZUEQE,0.04,Low Risk
1091-SOZGA,0.1,Low Risk
2928-HLDBA,0.02,Low Risk
0404-SWRVG,0.78,High Risk
6497-TILVL,0.01,Low Risk
7219-TLZHO,0.1,Low Risk
4622-YNKIJ,0.05,Low Risk
4412-YLTKF,0.76,High Risk
6734-PSBAW,0.0,Low Risk
3930-ZGWVE,0.5133333333333334,Medium Risk
2639-UGMAZ,0.1,Low Risk
2876-GZYZC,0.3,Low Risk
6207-WIOLX,0.76,High Risk
8587-XYZSF,0.04,Low Risk
3091-FYHKI,0.99,High Risk
2372-HWUHI,0.79,High Risk
7799-LGRDP,0.02,Low Risk
7850-VWJUU,0.11,Low Risk
3774-VBNXY,0.0,Low Risk
6217-KDYWC,0.01,Low Risk
0390-DCFDQ,0.88,High Risk
3146-MSEGF,0.0,Low Risk
4080-OGPJL,0.66,Medium Risk
1095-WGNGG,0.07,Low Risk
2636-SJDOU,0.01,Low Risk
1131-QQZEB,0.0,Low Risk
5716-EZXZN,0.01,Low Risk
6837-BJYDQ,0.03,Low Risk
2135-RXIHG,0.98,High Risk
6440-DKQGE,0.03,Low Risk
3466-BYAVD,0.04,Low Risk
3780-YVMFA,0.13,Low Risk
3874-EQOEP,0.93,High Risk
1679-JRFBR,0.04,Low Risk
9073-ZZIAY,0.01,Low Risk
3077-RSNTJ,0.06,Low Risk
6551-GNYDG,0.19,Low Risk
9167-APMXZ,0.4,Medium Risk
2749-CTKAJ,0.0,Low Risk
6371-NZYEG,0.0,Low Risk
7554-NEWDD,0.03,Low Risk
8992-VONJD,0.07,Low Risk
0867-MKZVY,0.7,Medium Risk
4482-EWFMI,0.33,Medium Risk
4648-YPBTM,0.01,Low Risk
2907-ILJBN,0.01,Low Risk
6345-FZOQH,0.0,Low Risk
3376-BMGFE,0.95,High Risk
5997-OPVFA,0.0,Low Risk
3445-HXXGF,0.34,Medium Risk
1159-WFSGR,0.08,Low Risk
7654-YWJUF,0.01,Low Risk
1875-QIVME,0.9,High Risk
6727-IOTLZ,0.02,Low Risk
0691-JVSYA,0.75,High Risk
5918-VUKWP,0.02,Low Risk
1744-JHKYS,0.02,Low Risk
2656-FMOKZ,0.92,High Risk
2070-FNEXE,0.36,Medium Risk
5947-SGKCL,0.18,Low Risk
3712-PKXZA,0.01,Low Risk
6317-YPKDH,0.73,High Risk
6582-OIVSP,0.37,Medium Risk
9367-WXLCH,0.89,High Risk
5524-KHNJP,0.11,Low Risk
1918-ZBFQJ,0.55,Medium Risk
1024-GUALD,0.75,High Risk
4827-USJHP,0.02,Low Risk
8167-GJLRN,0.11,Low Risk
0956-SYCWG,0.04,Low Risk
8017-UVSZU,0.05,Low Risk
7100-FQPRV,0.02,Low Risk
2472-OVKUP,0.87,High Risk
2984-RGEYA,0.0,Low Risk
9680-NIAUV,0.0,Low Risk
2146-EGVDT,0.01,Low Risk
2604-IJPDU,0.09,Low Risk
9178-JHUVJ,0.04,Low Risk
6168-YBYNP,0.18,Low Risk
7255-SSFBC,0.07,Low Risk
3645-DEYGF,0.21,Low Risk
9323-HGFWY,0.19,Low Risk
8544-GOQSH,0.15,Low Risk
3363-DTIVD,0.08,Low Risk
7018-WBJNK,0.27,Low Risk
9142-KZXOP,0.09,Low Risk
7674-YTAFD,0.12,Low Risk
6348-SNFUS,0.01,Low Risk
1285-OKIPP,0.98,High Risk
7825-ECJRF,0.46,Medium Risk
1347-KTTTA,0.1,Low Risk
7841-TZDMQ,0.51,Medium Risk
4195-NZGTA,0.26,Low Risk
7157-SMCFK,0.02,Low Risk
4709-LKHYG,0.0,Low Risk
2504-DSHIH,0.21,Low Risk
0699-NDKJM,0.06,Low Risk
9286-BHDQG,0.03,Low Risk
0230-WEQUW,0.01,Low Risk
2040-LDIWQ,0.0,Low Risk
6496-JDSSB,0.34,Medium Risk
9408-SSNVZ,0.87,High Risk
4443-EMBNA,0.01,Low Risk
6469-MRVET,0.1,Low Risk
0742-MOABM,0.71,High Risk
5961-VUSRV,0.01,Low Risk
6778-JFCMK,0.01,Low Risk
6341-JVQGF,0.14,Low Risk
2232-DMLXU,0.74,High Risk
4811-JBUVU,0.28,Low Risk
0945-TSONX,0.0,Low Risk
2651-ZCBXV,0.25,Low Risk
3316-UWXUY,0.12,Low Risk
8937-RDTHP,0.96,High Risk
7083-MIOPC,0.0,Low Risk
1984-GPTEH,0.0,Low Risk
1251-KRREG,0.76,High Risk
0621-JFHOL,0.11,Low Risk
9903-LYSAB,0.14,Low Risk
0094-OIFMO,0.88,High Risk
9227-UAQFT,0.05,Low Risk
7301-ABVAD,0.0,Low Risk
6614-FHDBO,0.01,Low Risk
7576-ASEJU,0.1,Low Risk
9058-HRZSV,0.05,Low Risk
4522-AKYLR,0.03,Low Risk
0221-WMXNQ,0.36,Medium Risk
0303-UNCIP,0.09,Low Risk
9947-OTFQU,0.72,High Risk
0322-YINQP,0.11,Low Risk
0959-WHOKV,0.11,Low Risk
4075-JFPGR,0.14,Low Risk
4629-NRXKX,0.88,High Risk
9514-JDSKI,0.9,High Risk
3282-ZISZV,0.1,Low Risk
3675-YDUPJ,0.15,Low Risk
4111-BNXIF,0.04,Low Risk
7017-VFHAY,0.02,Low Risk
6655-LHBYW,0.12,Low Risk
4959-JOSRX,0.84,High Risk
5046-NUHWD,0.48,Medium Risk
7273-TEFQD,0.9,High Risk
3606-TWKGI,0.87,High Risk
7529-ZDFXI,0.08,Low Risk
7605-BDWDC,0.03,Low Risk
1950-KSVVJ,0.06,Low Risk
0123-CRBRT,0.0,Low Risk
6292-TOSSS,0.0,Low Risk
3197-ARFOY,0.21,Low Risk
6323-AYBRX,0.58,Medium Risk
7014-ZZXAW,0.0,Low Risk
4385-GZQXV,0.81,High Risk
7633-MVPUY,0.01,Low Risk
6366-ZGQGL,0.81,High Risk
4716-HHKQH,0.09,Low Risk
5940-AHUHD,0.79,High Risk
6432-TWQLB,0.92,High Risk
4484-GLZOU,0.8,High Risk
3179-GBRWV,0.05,Low Risk
8645-KWHJO,0.23,Low Risk
4130-MZLCC,0.41,Medium Risk
0314-TKOSI,0.1,Low Risk
8229-MYEJZ,0.03,Low Risk
2080-SRCDE,0.05,Low Risk
9577-WJVCQ,0.03,Low Risk
9512-UIBFX,0.69,Medium Risk
6202-DYYFX,0.09,Low Risk
3808-HFKDE,0.32,Medium Risk
5583-SXDAG,0.9532142857142857,High Risk
3488-PGMQJ,0.79,High Risk
3580-REOAC,0.76,High Risk
7534-BFESC,0.72,High Risk
3727-OWVYD,0.08,Low Risk
2294-SALNE,0.02,Low Risk
4847-TAJYI,0.29,Low Risk
1563-IWQEX,0.02,Low Risk
8203-XJZRC,0.44233333333333336,Medium Risk
6556-DBKZF,0.13,Low Risk
6851-WEFYX,0.22,Low Risk
2985-JUUBZ,0.11,Low Risk
6390-DSAZX,0.91,High Risk
0895-LMRSF,0.06,Low Risk
8098-LLAZX,0.97,High Risk
8266-VBFQL,0.17,Low Risk
8181-YHCMF,0.0,Low Risk
2240-HSJQD,0.15,Low Risk
1248-DYXUB,0.0,Low Risk
0265-EDXBD,0.78,High Risk
4115-BNPJY,0.01,Low Risk
3167-SNQPL,0.35,Medium Risk
4091-TVOCN,0.04,Low Risk
1098-TDVUQ,0.2,Low Risk
7277-OZCGZ,0.1,Low Risk
1557-EMYVT,0.06,Low Risk
2799-ARNLO,0.13,Low Risk
7563-BIUPC,0.87,High Risk
5027-YOCXN,0.28,Low Risk
3973-SKMLN,0.01,Low Risk
2321-OMBXY,0.69,Medium Risk
2840-XANRC,0.33,Medium Risk
6745-JEFZB,0.21,Low Risk
5020-ZSTTY,0.65,Medium Risk
9880-TDQAC,0.14,Low Risk
8705-WZCYL,0.39,Medium Risk
7102-JJVTX,0.08,Low Risk
8626-PTQGE,0.0,Low Risk
4983-CLMLV,0.36,Medium Risk
5701-YVSVF,0.22,Low Risk
5804-LEPIM,0.89,High Risk
5697-GOMBF,0.15,Low Risk
2739-CACDQ,0.14,Low Risk
9385-EHGDO,0.04,Low Risk
9498-FIMXL,0.05,Low Risk
2379-GYFLQ,0.12,Low Risk
0122-OAHPZ,0.61,Medium Risk
2868-SNELZ,0.64,Medium Risk
4322-RCYMT,0.61,Medium Risk
6680-NENYN,0.77,High Risk
2088-IEBAU,0.0,Low Risk
7982-VCELR,0.07,Low Risk
1343-EHPYB,0.22,Low Risk
6035-BXTTY,0.01,Low Risk
6885-PKOAM,0.0,Low Risk
7520-HQWJU,0.02,Low Risk
9639-BUJXT,0.01,Low Risk
5924-SNGKP,0.0,Low Risk
0021-IKXGC,0.21,Low Risk
2034-GDRCN,0.87,High Risk
8966-SNIZF,0.0,Low Risk
6243-OZGFH,0.09,Low Risk
4654-DLAMQ,0.02,Low Risk
0513-RBGPE,0.0,Low Risk
5160-UXJED,0.08,Low Risk
4115-NZRKS,0.15,Low Risk
0219-YTZUE,0.92,High Risk
0623-IIHUG,0.77,High Risk
4572-DVCGN,0.85,High Risk
3351-NGXYI,0.09,Low Risk
8984-EYLLL,0.0,Low Risk
9057-MSWCO,0.72,High Risk
9833-TGFHX,0.1,Low Risk
9294-TDIPC,0.0,Low Risk
5229-DTFYB,0.01,Low Risk
0104-PPXDV,0.04,Low Risk
5176-LMJXE,0.0,Low Risk
3583-KRKMD,0.06,Low Risk
1010-DIAUQ,0.86,High Risk
9069-LGEUL,0.03,Low Risk
7302-ZHMHP,0.04,Low Risk
9571-EDEBV,0.09,Low Risk
3520-FJGCV,0.0,Low Risk
6563-VRERX,0.0,Low Risk
0259-GBZSH,0.71,High Risk
6122-EFVKN,0.04,Low Risk
2805-EDJPQ,0.13,Low Risk
6862-CQUMB,0.03,Low Risk
7156-MXBJE,0.04,Low Risk
6158-HDPXZ,0.44,Medium Risk
9601-BRXPO,0.86,High Risk
2863-IMQDR,0.02,Low Risk
5686-CMAWK,0.11,Low Risk
5651-CRHKQ,0.03,Low Risk
6905-NIQIN,0.47,Medium Risk
8204-YJCLA,0.0,Low Risk
5167-ZFFMM,0.96,High Risk
6583-SZVGP,0.13,Low Risk
4895-TMWIR,0.68,Medium Risk
0533-BNWKF,0.79,High Risk
1708-PBBOA,0.07,Low Risk
8782-LKFPK,0.06,Low Risk
5522-JBWMO,0.09,Low Risk
3597-MVHJT,0.18,Low Risk
9774-NRNAU,0.01,Low Risk
0224-RLWWD,0.22,Low Risk
9967-ATRFS,0.02,Low Risk
3951-NJCVI,0.15,Low Risk
2977-CEBSX,0.0,Low Risk
0177-PXBAT,0.22,Low Risk
6599-CEBNN,0.8,High Risk
2519-ERQOJ,0.06,Low Risk
5876-QMYLD,0.0,Low Risk
2277-AXSDC,0.01,Low Risk
9442-JTWDL,0.06,Low Risk
0979-PHULV,0.74,High Risk
3067-SVMTC,0.0,Low Risk
5495-GPSRW,0.0,Low Risk
7606-BPHHN,0.0,Low Risk
4742-DRORA,0.06,Low Risk
0111-KLBQG,0.16,Low Risk
4800-VHZKI,0.43999999999999995,Medium Risk
7989-CHGTL,0.78,High Risk
0334-GDDSO,0.86,High Risk
4163-NCJAK,0.02,Low Risk
5233-AOZUF,0.23,Low Risk
5973-EJGDP,0.18,Low Risk
1996-DBMUS,0.19,Low Risk
7916-VCCPB,0.15,Low Risk
4686-GEFRM,0.02,Low Risk
5249-QYHEX,0.01,Low Risk
0578-SKVMF,0.9,High Risk
5564-NEMQO,0.96,High Risk
2233-FAGXV,0.26,Low Risk
5605-IYGFG,0.32,Medium Risk
7663-ZTEGJ,0.03,Low Risk
3935-TBRZZ,0.0,Low Risk
8111-BKVDS,0.04,Low Risk
2055-SIFSS,0.14,Low Risk
2806-MLNTI,0.36,Medium Risk
8734-DKSTZ,0.19,Low Risk
4360-PNRQB,0.1,Low Risk
6152-ONASV,0.0,Low Risk
9063-ZGTUY,0.63,Medium Risk
7781-HVGMK,0.0,Low Risk
2181-UAESM,0.52,Medium Risk
2957-LOLHO,0.69,Medium Risk
6048-NJXHX,0.04,Low Risk
2320-SLKMB,0.17,Low Risk
4980-URKXC,0.0,Low Risk
4376-KFVRS,0.0,Low Risk
5886-VLQVU,0.16,Low Risk
3577-AMVUX,0.71,High Risk
0771-WLCLA,0.15,Low Risk
5628-RKIFK,0.12,Low Risk
0206-TBWLC,0.05,Low Risk
2937-FTHUR,0.31,Medium Risk
1910-FMXJM,0.23,Low Risk
7752-XUSCI,0.64,Medium Risk
4110-PFEUZ,0.98,High Risk
0732-OCQOC,0.02,Low Risk
5168-MSWXT,0.16,Low Risk
1090-ESELR,0.02,Low Risk
8592-PLTMQ,0.0,Low Risk
5760-WRAHC,0.04,Low Risk
8847-GEOOQ,0.04,Low Risk
0256-LTHVJ,0.8,High Risk
4785-FCIFB,0.01,Low Risk
8313-NDOIA,0.25,Low Risk
5149-CUZUJ,0.05,Low Risk
0942-KOWSM,0.03,Low Risk
4237-CLSMM,0.04,Low Risk
1452-VOQCH,0.33,Medium Risk
4719-UMSIY,0.0,Low Risk
6614-VBEGU,0.07,Low Risk
0880-TKATG,0.93,High Risk
3811-VBYBZ,0.94,High Risk
1480-BKXGA,0.0,Low Risk
2996-XAUVF,0.04,Low Risk
9076-AXYIK,0.0,Low Risk
5968-XQIVE,0.09,Low Risk
8896-RAZCR,0.0,Low Risk
4640-UHDOS,0.3,Low Risk
4933-IKULF,0.02,Low Risk
3583-EKAPL,0.64,Medium Risk
1304-BCCFO,0.34,Medium Risk
4104-PVRPS,0.03,Low Risk
9399-APLBT,0.95,High Risk
2359-KMGLI,0.87,High Risk
3780-DDGSE,0.12,Low Risk
4431-EDMIQ,0.06,Low Risk
0306-JAELE,0.63,Medium Risk
6227-HWPWX,0.27,Low Risk
0486-LGCCH,0.01,Low Risk
0447-BEMNG,0.71,High Risk
4612-SSVHJ,0.12,Low Risk
5168-MQQCA,0.08,Low Risk
5949-XIKAE,0.77,High Risk
7971-HLVXI,0.0,Low Risk
9094-AZPHK,0.81,High Risk
3649-JPUGY,0.0,Low Risk
4472-LVYGI,0.08,Low Risk
8372-JUXUI,0.95,High Risk
3552-CTCYF,0.04,Low Risk
6778-YSNIH,0.39,Medium Risk
0388-EOPEX,0.79,High Risk
5756-OZRIO,0.04,Low Risk
6579-JPICP,0.0,Low Risk
8205-OTCHB,0.7,Medium Risk
4134-BSXLX,0.01,Low Risk
0505-SPOOW,0.0,Low Risk
6235-VDHOM,0.77,High Risk
7783-YKGDV,0.87,High Risk
4374-YMUSQ,0.29,Low Risk
4513-CXYIX,0.04,Low Risk
3957-HHLMR,0.06,Low Risk
7803-XOCCZ,0.1,Low Risk
5736-YEJAX,0.0,Low Risk
5609-CEBID,0.88,High Risk
8981-FJGLA,0.52,Medium Risk
7218-HKQFK,0.92,High Risk
4636-QRJKY,0.85,High Risk
1135-LMECX,0.15016666666666667,Low Risk
4332-MUOEZ,0.05,Low Risk
8535-SFUTN,0.27,Low Risk
5956-VKDTT,0.88,High Risk
8677-HDZEE,0.03,Low Risk
2475-MROZF,0.06,Low Risk
9412-GHEEC,0.78,High Risk
3482-ABPKK,0.03,Low Risk
6705-LXORM,0.17,Low Risk
0257-ZESQC,0.21,Low Risk
7531-GQHME,0.02,Low Risk
5174-ITUMV,0.13,Low Risk
4109-CYRBD,0.07,Low Risk
0913-XWSCN,0.09,Low Risk
6825-UYPFK,0.81,High Risk
8397-MVTAZ,0.79,High Risk
0750-EBAIU,0.06,Low Risk
8606-CIQUL,0.0,Low Risk
3571-DPYUH,0.12,Low Risk
7601-GNDYK,0.0,Low Risk
0356-OBMAC,0.08,Low Risk
8067-NIOYM,0.0,Low Risk
1403-GYAFU,0.0,Low Risk
4234-XTNEA,0.47,Medium Risk
1297-VQDRP,0.12,Low Risk
9282-IZGQK,0.97,High Risk
5348-CAGXB,0.44,Medium Risk
0621-HJWXJ,0.05,Low Risk
5844-QVTAT,0.0,Low Risk
8905-IAZPF,0.24,Low Risk
5394-MEITZ,0.02,Low Risk
6859-QNXIQ,0.01,Low Risk
2782-LFZVW,0.04,Low Risk
2866-IKBTM,0.04,Low Risk
1342-JPNKI,0.71,High Risk
2817-NTQDO,0.28,Low Risk
7129-AZJDE,0.06,Low Risk
6986-IJDHX,0.73,High Risk
2560-PPCHE,0.14,Low Risk
4676-MQUEA,0.07,Low Risk
8138-EALND,0.08,Low Risk
3580-HYCSP,0.01,Low Risk
1352-HNSAW,0.0,Low Risk
2075-PUEPR,0.06,Low Risk
1982-FEBTD,0.03,Low Risk
5301-GAUUY,0.75,High Risk
5791-KAJFD,0.09,Low Risk
2654-VBVPB,0.16,Low Risk
1154-HYWWO,0.05,Low Risk
2501-XWWTZ,0.2,Low Risk
3716-UVSPD,0.16,Low Risk
6815-ABQFQ,0.17,Low Risk
7343-EOBEU,0.1,Low Risk
3701-SFMUH,0.08,Low Risk
6103-LIANB,0.05,Low Risk
7319-VENRZ,0.04,Low Risk
5846-NEQVZ,0.05,Low Risk
6967-QIQRV,0.22,Low Risk
5781-RFZRP,0.01,Low Risk
0939-YAPAF,0.86,High Risk
0308-IVGOK,0.08,Low Risk
7293-LSCDV,0.0,Low Risk
7025-WCBNE,0.01,Low Risk
5756-JYOJT,0.06,Low Risk
4710-FDUIZ,0.65,Medium Risk
6030-REHUX,0.17,Low Risk
9548-LIGTA,0.02,Low Risk
5150-LJNSR,0.15,Low Risk
8270-RKSAP,0.47,Medium Risk
6522-YRBXD,0.09,Low Risk
2640-LYMOV,0.07,Low Risk
1218-VKFPE,0.6,Medium Risk
3627-FHKBK,0.86,High Risk
2865-TCHJW,0.88,High Risk
1423-BMPBQ,0.11,Low Risk
2393-DIVAI,0.1,Low Risk
5192-EBGOV,0.78,High Risk
4568-KNYWR,0.04,Low Risk
8752-IMQOS,0.0,Low Risk
0742-LAFQK,0.0,Low Risk
0795-LAFGP,0.0,Low Risk
0619-OLYUR,0.02,Low Risk
5512-IDZEI,0.01,Low Risk
0459-SPZHJ,0.01,Low Risk
0215-BQKGS,0.08,Low Risk
9244-ZVAPM,0.32,Medium Risk
0719-SYFRB,0.66,Medium Risk
8208-EUMTE,0.06,Low Risk
5172-MIGPM,0.14,Low Risk
1710-RCXUS,0.08,Low Risk
0374-FIUCA,0.0,Low Risk
5839-SUYVZ,0.05,Low Risk
5173-ZXXXL,0.08,Low Risk
1096-ADRUX,0.04,Low Risk
2001-MCUUW,0.12,Low Risk
2731-GJRDG,0.27,Low Risk
4723-BEGSG,0.0,Low Risk
6516-NKQBO,0.02,Low Risk
8672-OAUPW,0.04,Low Risk
8207-DMRVL,0.0,Low Risk
3419-SNJJD,0.6,Medium Risk
6543-CPZMK,0.76,High Risk
4765-OXPPD,0.14,Low Risk
2804-ETQDK,0.0,Low Risk
6689-VRRTK,0.19,Low Risk
7138-GIRSH,0.01,Low Risk
9396-ZSFLL,0.07,Low Risk
6464-KEXXH,0.17,Low Risk
7134-MJPDY,0.21,Low Risk
5240-CAOYT,0.0,Low Risk
4059-IIEBK,0.22,Low Risk
4881-JVQOD,0.43,Medium Risk
0516-UXRMT,0.06,Low Risk
4851-BQDNX,0.32,Medium Risk
5148-HKFIR,0.0,Low Risk
1009-IRMNA,0.67,Medium Risk
3003-CMDUU,0.44,Medium Risk
5016-IBERQ,0.45,Medium Risk
6797-UCJHZ,0.17,Low Risk
2469-DTSGX,0.01,Low Risk
4554-YGZIH,0.77,High Risk
5099-BAILX,0.73,High Risk
9931-KGHOA,0.02,Low Risk
1775-KWJKQ,0.0,Low Risk
7665-VIGUD,0.05,Low Risk
9411-TPQQV,0.07,Low Risk
7207-RMRDB,0.67,Medium Risk
7954-MLBUN,0.01,Low Risk
2077-DDHJK,0.0,Low Risk
4913-EHYUI,0.8,High Risk
0195-IESCP,0.89,High Risk
9574-BOSMD,0.0,Low Risk
4580-TMHJU,0.68,Medium Risk
0970-ETWGE,0.49,Medium Risk
4908-XAXAY,0.09,Low Risk
8404-VLQFB,0.08,Low Risk
1626-ERCMM,0.75,High Risk
0887-HJGAR,0.89,High Risk
2391-IPLOP,0.03,Low Risk
5644-PDMZC,0.86,High Risk
3509-GWQGF,0.2,Low Risk
9576-ANLXO,0.82,High Risk
2024-BASKD,0.92,High Risk
5845-BZZIB,0.0,Low Risk
1140-UKVZG,0.09,Low Risk
4160-AMJTL,0.78,High Risk
5183-SNMJQ,0.14,Low Risk
8100-PNJMH,0.0,Low Risk
7838-LAZFO,0.05,Low Risk
4464-JCOLN,0.65,Medium Risk
2085-JVGAD,0.01,Low Risk
5650-VDUDS,0.8,High Risk
8095-WANWK,0.09,Low Risk
3030-ZKIWL,0.08,Low Risk
9565-FLVCG,0.04,Low Risk
8755-OGKNA,0.0,Low Risk
2800-VEQXM,0.11,Low Risk
7538-GWHML,0.91,High Risk
5533-RJFTJ,0.09,Low Risk
3859-CVCET,0.75,High Risk
0214-JHPFW,0.01,Low Risk
5642-MHDQT,0.01,Low Risk
3088-FVYWK,0.02,Low Risk
3276-HDUEG,0.78,High Risk
9092-GDZKO,0.03,Low Risk
0823-HSCDJ,0.7,Medium Risk
3729-OWRVL,0.08,Low Risk
2324-AALNO,0.0,Low Risk
0822-GAVAP,0.98,High Risk
5760-IFJOZ,0.31,Medium Risk
2826-UWHIS,0.06,Low Risk
1448-PWKYE,0.87,High Risk
7501-IWUNG,0.06,Low Risk
4957-TREIR,0.12,Low Risk
7251-LJBQN,0.25,Low Risk
8040-MNRTF,0.35,Medium Risk
1536-HBSWP,0.14,Low Risk
5313-FPXWG,0.01,Low Risk
0067-DKWBL,0.92,High Risk
0946-FKYTX,0.18,Low Risk
5076-YVXCM,0.09,Low Risk
8262-COGGB,0.08,Low Risk
6663-JOCQO,0.04,Low Risk
9620-QJREV,0.0,Low Risk
2276-YDAVZ,0.96,High Risk
2682-KEVRP,0.0,Low Risk
2480-JZOSN,0.1831666666666667,Low Risk
0078-XZMHT,0.0,Low Risk
5896-NPFWW,0.85,High Risk
9978-HYCIN,0.12,Low Risk
8338-QIUNR,0.03,Low Risk
1525-LNLOJ,0.0,Low Risk
9450-TRJUU,0.12,Low Risk
1766-GKNMI,0.21,Low Risk
6942-LBFDP,0.03,Low Risk
1456-TWCGB,0.11,Low Risk
7133-VBDCG,0.15,Low Risk
7596-ZYWBB,0.04,Low Risk
8329-UTMVM,0.11,Low Risk
3014-WJKSM,0.12,Low Risk
3347-YJZZE,0.08,Low Risk
1029-QFBEN,0.12,Low Risk
7929-DMBCV,0.14,Low Risk
9661-JALZV,0.01,Low Risk
5433-KYGHE,0.2,Low Risk
4312-KFRXN,0.0,Low Risk
5575-TPIZQ,0.05,Low Risk
0114-IGABW,0.0,Low Risk
9944-AEXBM,0.17,Low Risk
1853-ARAAQ,0.12,Low Risk
6952-OMNWB,0.06,Low Risk
4697-LUPSU,0.11,Low Risk
8434-VGEQQ,0.0,Low Risk
4952-YSOGZ,0.91,High Risk
1589-AGTLK,0.89,High Risk
5244-IRFIH,0.83,High Risk
6549-YMFAW,0.21,Low Risk
4950-HKQTE,0.0,Low Risk
6786-OBWQR,0.28,Low Risk
2684-EIWEO,0.65,Medium Risk
2753-JMMCV,0.0,Low Risk
6439-GTPCA,0.37,Medium Risk
6621-YOBKI,0.03,Low Risk
1216-JWVUX,0.09,Low Risk
